"","weeks","immuno","prior_inf","prior_vacc","severe_ve","nonsevere_ve"
"377",61,1,1,0,0.630588555479253,0.035498384763044
"378",61,1,1,1,0.719343274816743,0.141349262039694
"379",62,0,0,1,0.328942751325859,0.0127416939560124
"380",62,0,1,0,0.778997536576286,0.177834837403956
"381",62,0,1,1,0.885455664479033,0.285872082518836
"382",62,1,0,1,0.178942751325859,0
"383",62,1,1,0,0.628997536576285,0.0278348374039555
"384",62,1,1,1,0.716735296239677,0.135872082518836
"385",63,0,0,1,0.321719070539147,0.00816053640773129
"386",63,0,1,0,0.777420713967225,0.170223531582467
"387",63,0,1,1,0.884769502198014,0.28044122070355
"388",63,1,0,1,0.171719070539147,0
"389",63,1,1,0,0.627420713967225,0.0202235315824668
"390",63,1,1,1,0.714134289309637,0.13044122070355
"391",64,0,0,1,0.314533224586177,0.00363076825719097
"392",64,0,1,0,0.775857738613914,0.162663290280643
"393",64,0,1,1,0.884090132426023,0.275055558888704
"394",64,1,0,1,0.164533224586178,0
"395",64,1,1,0,0.625857738613914,0.0126632902806428
"396",64,1,1,1,0.711540074888624,0.125055558888704
"397",65,0,0,1,0.307384428692423,0
"398",65,0,1,0,0.774308275357293,0.155152980919154
"399",65,0,1,1,0.88341738334228,0.269714023316327
"400",65,1,0,1,0.157384428692423,0
"401",65,1,1,0,0.624308275357293,0.00515298091915375
"402",65,1,1,1,0.708952481155859,0.119714023316327
"403",66,0,0,1,0.300271926156101,0
"404",66,0,1,0,0.772772002161314,0.147691513023623
"405",66,0,1,1,0.88275109003686,0.264415581800602
"406",66,1,0,1,0.150271926156101,0
"407",66,1,1,0,0.622772002161314,0
"408",66,1,1,1,0.706371343201417,0.114415581800602
"409",67,0,0,1,0.293194986934767,0
"410",67,0,1,0,0.771248609408826,0.140277836046921
"411",67,0,1,1,0.882091094132686,0.259159241515125
"412",67,1,0,1,0.143194986934767,0
"413",67,1,1,0,0.621248609408827,0
"414",67,1,1,1,0.703796502648221,0.109159241515125
"415",68,0,0,1,0.286152906323065,0
"416",68,0,1,0,0.769737799245152,0.132910937334836
"417",68,0,1,1,0.881437243433507,0.253944046929098
"418",68,1,0,1,0.136152906323065,0
"419",68,1,1,0,0.619737799245152,0
"420",68,1,1,1,0.70122780730002,0.103944046929098
"421",69,0,0,1,0.279145003714492,0
"422",69,0,1,0,0.768239284965464,0.1255898402237
"423",69,0,1,1,0.880789391595723,0.248769077880384
"424",69,1,0,1,0.129145003714492,0
"425",69,1,1,0,0.618239284965465,0
"426",69,1,1,1,0.698665110813214,0.0987690778803837
"427",7,0,0,1,0.844098579758285,0.474781270193138
"428",7,0,1,0,0.91615441365644,0.765908305377126
"429",7,0,1,1,0.949257179567083,0.74576507145119
"430",7,1,0,1,0.694098579758285,0.324781270193138
"431",7,1,1,0,0.76615441365644,0.615908305377126
"432",7,1,1,1,0.88585326702393,0.59576507145119
"433",70,0,0,1,0.272170621440715,0
"434",70,0,1,0,0.766752790442456,0.118313602259631
"435",70,0,1,1,0.88014739782212,0.243633447774519
"436",70,1,0,1,0.122170621440714,0
"437",70,1,1,0,0.616752790442456,0
"438",70,1,1,1,0.696108272390589,0.093633447774519
"439",71,0,0,1,0.265229123682537,0
"440",71,0,1,0,0.765278049591117,0.11108131353001
"441",71,0,1,1,0.879511126575754,0.23853630189976
"442",71,1,0,1,0.115229123682538,0
"443",71,1,1,0,0.615278049591117,0
"444",71,1,1,1,0.693557156495202,0.0885363018997603
"445",72,0,0,1,0.258319895447149,0
"446",72,0,1,0,0.763814805867725,0.103892095098616
"447",72,0,1,1,0.878880447312413,0.233476815849174
"448",72,1,0,1,0.108319895447148,0
"449",72,1,1,0,0.613814805867724,0
"450",72,1,1,1,0.691011632582839,0.083476815849174
"451",73,0,0,1,0.251442341606759,0
"452",73,0,1,0,0.762362811800411,0.0967450975366591
"453",73,0,1,1,0.878255234230182,0.228454194041574
"454",73,1,0,1,0.101442341606759,0
"455",73,1,1,0,0.612362811800411,0
"456",73,1,1,1,0.688471574851586,0.078454194041574
"457",74,0,0,1,0.244595885994154,0
"458",74,0,1,0,0.760921828548928,0.0896394995425836
"459",74,0,1,1,0.87763536603483,0.223467668333859
"460",74,1,0,1,0.0945958859941537,0
"461",74,1,1,0,0.610921828548928,0
"462",74,1,1,1,0.685936862007212,0.073467668333859
"463",75,0,0,1,0.23777997055106,0
"464",75,0,1,0,0.759491625491408,0.0825745066441647
"465",75,0,1,1,0.877020725719796,0.218516496717937
"466",75,1,0,1,0.0893749046171675,0
"467",75,1,1,0,0.609491625491408,0
"468",75,1,1,1,0.683407377043156,0.0685164967179372
"469",76,0,0,1,0.2309940545256,0
"470",76,0,1,0,0.758071979836139,0.07554934997696
"471",76,0,1,1,0.876411200359696,0.213599962096035
"472",76,1,0,1,0.084495039584751,0
"473",76,1,1,0,0.608071979836139,0
"474",76,1,1,1,0.680883007034034,0.063599962096035
"475",77,0,0,1,0.224237613715371,0
"476",77,0,1,0,0.756662676256533,0.0685632851336778
"477",77,0,1,1,0.875806680916351,0.208717371128696
"478",77,1,0,1,0.0796363706696445,0
"479",77,1,1,0,0.606662676256533,0
"480",77,1,1,1,0.678363642941667,0.058717371128696
"481",78,0,0,1,0.217510139753025,0
"482",78,0,1,0,0.75526350654761,0.0616155910794861
"483",78,0,1,1,0.875207062056426,0.203868053150292
"484",78,1,0,1,0.0747985322964355,0
"485",78,1,1,0,0.60526350654761,0
"486",78,1,1,1,0.67584917943272,0.053868053150292
"487",79,0,0,1,0.210811139431424,0
"488",79,0,1,0,0.753874269302478,0.0547055691286797
"489",79,0,1,1,0.874612241979836,0.199051359147249
"490",79,1,0,1,0.0699811697916718,0
"491",79,1,1,0,0.603874269302478,0
"492",79,1,1,1,0.673339514707109,0.0490513591472493
"493",8,0,0,1,0.829526415025815,0.454091778936933
"494",8,0,1,0,0.911029069952303,0.74719526763229
"495",8,0,1,1,0.946663879526905,0.729171580473061
"496",8,1,0,1,0.679526415025815,0.304091778936933
"497",8,1,1,0,0.761029069952303,0.59719526763229
"498",8,1,1,1,0.88134512233473,0.579171580473061
"499",80,0,0,1,0.204140134065728,0
"500",80,0,1,0,0.75249476960741,0.0478325419785117
"501",80,0,1,1,0.874022122258175,0.194266660794644
"502",80,1,0,1,0.0651839389251265,0
"503",80,1,1,0,0.60249476960741,0
"504",80,1,1,1,0.670834550336426,0.0442666607946443
"505",81,0,0,1,0.197496658889944,0
"506",81,0,1,0,0.751124818754223,0.0409958527963193
"507",81,0,1,1,0.873436607682444,0.189513349547131
"508",81,1,0,1,0.0604065054758472,0
"509",81,1,1,0,0.601124818754222,0
"510",81,1,1,1,0.668334191111673,0.0395133495471308
"511",82,0,0,1,0.19088026248568,0
"512",82,0,1,0,0.749764233968777,0.0341948643563824
"513",82,0,1,1,0.872855606119449,0.184790835780509
"514",82,1,0,1,0.0556485448213627,0
"515",82,1,1,0,0.599764233968777,0
"516",82,1,1,1,0.665838344899656,0.034790835780509
"517",83,0,0,1,0.184290506241007,0
"518",83,0,1,0,0.74841283815452,0.027428958223239
"519",83,0,1,1,0.872279028376268,0.18009854798054
"520",83,1,0,1,0.0509097415485435,0
"521",83,1,1,0,0.59841283815452,0
"522",83,1,1,1,0.663346922507453,0.0300985479805402
"523",84,0,0,1,0.177726963837512,0
"524",84,0,1,0,0.747070459650047,0.0206975339784203
"525",84,0,1,1,0.871706788072253,0.175435931975857
"526",84,1,0,1,0.0464964234984675,0
"527",84,1,1,0,0.597070459650047,0
"528",84,1,1,1,0.660859837554416,0.025435931975857
"529",85,0,0,1,0.171189220763741,0
"530",85,0,1,0,0.745736931999781,0.0140000084878192
"531",85,0,1,1,0.871138801518045,0.17080245021209
"532",85,1,0,1,0.043487010533622,0
"533",85,1,1,0,0.595736931999781,0
"534",85,1,1,1,0.658377006351187,0.02080245021209
"535",86,0,0,1,0.164676873853393,0
"536",86,0,1,0,0.744412093736896,0.00733581520709495
"537",86,0,1,1,0.87057498760116,0.166197581064533
"538",86,1,0,1,0.0404892877717405,0
