"","week","age_group","risk_group","risk_coverage","prop_up_to_date_sim_period"
"273",24,"65-74 years","immunocompromised",45.5663297332564,0.0136570561456753
"274",13,"65-74 years","immunocompromised",20.6150321726121,0.0637329286798179
"275",20,"65-74 years","immunocompromised",41.6210390933255,0.0477996965098635
"276",9,"65-74 years","immunocompromised",4.4073517058688,0.0379362670713202
"277",18,"65-74 years","immunocompromised",36.9293421161103,0.147951441578149
"278",16,"65-74 years","immunocompromised",28.6122429292289,0.0660091047040971
"279",25,"65-74 years","immunocompromised",46.6326245008053,0.0227617602427921
"280",17,"65-74 years","immunocompromised",29.9984261270424,0.0295902883156298
"281",12,"65-74 years","immunocompromised",17.6294068234752,0.0978755690440061
"282",10,"65-74 years","immunocompromised",9.7388255436133,0.113808801213961
"283",8,"65-74 years","immunocompromised",2.63019375995396,0.0379362670713202
"284",11,"65-74 years","immunocompromised",13.0443393230149,0.0705614567526555
"285",26,"65-74 years","immunocompromised",46.8458834543151,0.00455235204855833
"286",19,"65-74 years","immunocompromised",39.3818200814728,0.0523520485584218
"287",4,"75+ years","immunocompromised",0.63979988488877,0.00209205020920505
"288",2,"75+ years","immunocompromised",0.533166570740641,0
"289",20,"75+ years","immunocompromised",42.9732256016957,0.0083682008368202
"290",7,"75+ years","immunocompromised",1.70613302637005,0
"291",3,"75+ years","immunocompromised",0.533166570740641,0
"292",14,"75+ years","immunocompromised",25.2720954531064,0.127615062761506
"293",1,"75+ years","immunocompromised",0.533166570740641,0.0104602510460251
"294",21,"75+ years","immunocompromised",45.3191585129545,0.0460251046025104
"295",5,"75+ years","immunocompromised",1.59949971222192,0.0188284518828452
"296",8,"75+ years","immunocompromised",2.77246616785133,0.0209205020920502
"297",6,"75+ years","immunocompromised",1.70613302637005,0.00209205020920505
"298",15,"75+ years","immunocompromised",30.9236611029572,0.110878661087866
"299",13,"75+ years","immunocompromised",18.7674632900706,0.0585774058577406
"300",22,"75+ years","immunocompromised",45.6390584553989,0.00627615062761515
"301",11,"75+ years","immunocompromised",12.0495644987385,0.098326359832636
"302",9,"75+ years","immunocompromised",3.83879930933261,0.0209205020920502
"303",18,"75+ years","immunocompromised",40.9471926328812,0.0836820083682008
"304",16,"75+ years","immunocompromised",35.0823603547342,0.0815899581589959
"305",25,"75+ years","immunocompromised",50.6508242203609,0.0167364016736401
"306",23,"75+ years","immunocompromised",48.4115246232502,0.0543933054393304
"307",12,"75+ years","immunocompromised",15.781730493923,0.0732217573221757
"308",10,"75+ years","immunocompromised",7.03779873377646,0.0627615062761506
"309",19,"75+ years","immunocompromised",42.5466923451031,0.0313807531380753
"310",17,"75+ years","immunocompromised",36.6818600669561,0.0313807531380753
"311",26,"75+ years","immunocompromised",50.9707241628053,0.00627615062761515
"312",24,"75+ years","immunocompromised",49.7977577071758,0.0271966527196654
"313",6,"0-17 years","higher risk",2.9606953627062,0.0176436383593273
"314",15,"0-17 years","higher risk",12.7492933683044,0.0377201961079864
"315",13,"0-17 years","higher risk",5.92139072541241,0.0176436383593273
"316",2,"0-17 years","higher risk",1.2688694411598,0.0176436383593273
"317",20,"0-17 years","higher risk",20.224449176011,0.0198015670779039
"318",9,"0-17 years","higher risk",4.22956480386601,0.0176436383593273
"319",7,"0-17 years","higher risk",3.3836518430928,0.0176436383593273
"320",16,"0-17 years","higher risk",14.8911449431517,0.0893473829066736
"321",14,"0-17 years","higher risk",11.8450580252074,0.247105904378211
"322",3,"0-17 years","higher risk",1.6918259215464,0.0176436383593273
"323",1,"0-17 years","higher risk",0.845912960773201,0.0176436383593273
"324",10,"0-17 years","higher risk",4.65252128425261,0.0176436383593273
"325",8,"0-17 years","higher risk",3.80660832347941,0.0176436383593273
"326",17,"0-17 years","higher risk",15.6264721523245,0.0306741897950336
"327",26,"0-17 years","higher risk",23.9721803277046,0.0121104923715643
"328",4,"0-17 years","higher risk",2.114782401933,0.0176436383593273
"329",24,"0-17 years","higher risk",23.1680029381338,0.0161476116621195
"330",11,"0-17 years","higher risk",5.07547776463921,0.0176436383593273
"331",25,"0-17 years","higher risk",23.6818654207162,0.0214357841280103
"332",18,"0-17 years","higher risk",18.7383752515483,0.129813102382988
"333",21,"0-17 years","higher risk",20.9795673702353,0.03149977114729
"334",5,"0-17 years","higher risk",2.5377388823196,0.0176436383593273
"335",22,"0-17 years","higher risk",21.3844578463407,0.0168900146157106
"336",12,"0-17 years","higher risk",5.49843424502581,0.0176436383593273
"337",23,"0-17 years","higher risk",22.7809094795077,0.0582530088659957
"338",19,"0-17 years","higher risk",19.7497624392484,0.0421900375299306
"339",1,"18-29 years","higher risk",0.629259470813729,0.0310344827586206
"340",7,"18-29 years","higher risk",0.943889206220595,0
"341",8,"18-29 years","higher risk",1.31095723086194,0.0241379310344828
"342",14,"18-29 years","higher risk",6.86941588971654,0.0827586206896551
"343",9,"18-29 years","higher risk",1.67802525550328,0.0241379310344828
"344",12,"18-29 years","higher risk",4.66700774186849,0.0310344827586207
"345",16,"18-29 years","higher risk",8.44256456675086,0.0724137931034482
"346",19,"18-29 years","higher risk",11.7461767885229,0.010344827586207
"347",17,"18-29 years","higher risk",9.85839837608175,0.0931034482758621
"348",15,"18-29 years","higher risk",7.34136049282683,0.0310344827586207
"349",10,"18-29 years","higher risk",2.7792293294273,0.0724137931034483
"350",2,"18-29 years","higher risk",0.629259470813729,0
"351",11,"18-29 years","higher risk",4.19506313875819,0.0931034482758621
"352",20,"18-29 years","higher risk",12.5327511270401,0.0517241379310345
"353",18,"18-29 years","higher risk",11.5888619208195,0.113793103448276
"354",5,"18-29 years","higher risk",0.943889206220595,0.0206896551724139
"355",3,"18-29 years","higher risk",0.629259470813729,0
