"","week","age_group","perc_doses"
"486",2022-10-23,"0-17 years",0.00265848845636637
"487",2022-10-23,"18-29 years",0.0010807110957506
"488",2022-10-23,"50-64 years",0.00113170127433937
"489",2022-10-23,"65-74 years",0.00164738268089295
"490",2022-10-23,"75+ years",0.00190634137683636
"491",2022-10-30,"0-17 years",0.00230470287814322
"492",2022-10-30,"18-29 years",0.00100600524236614
"493",2022-10-30,"50-64 years",0.000959728255270101
"494",2022-10-30,"65-74 years",0.00127988787400831
"495",2022-10-30,"75+ years",0.00147990716571739
"496",2022-11-06,"0-17 years",0.00238266016213283
"497",2022-11-06,"18-29 years",0.000924508863670673
"498",2022-11-06,"50-64 years",0.000816970223313065
"499",2022-11-06,"65-74 years",0.00100412885688639
"500",2022-11-06,"75+ years",0.00114470469849704
"501",2022-11-13,"0-17 years",0.00231798844857828
"502",2022-11-13,"18-29 years",0.000872582502464538
"503",2022-11-13,"50-64 years",0.000763712369962856
"504",2022-11-13,"65-74 years",0.000993323049319718
"505",2022-11-13,"75+ years",0.00107975114316103
"506",2022-11-20,"0-17 years",0.00138891476436132
"507",2022-11-20,"18-29 years",0.000616325809162623
"508",2022-11-20,"50-64 years",0.000473623851362841
"509",2022-11-20,"65-74 years",0.000525136287842311
"510",2022-11-20,"75+ years",0.000550932514309048
"511",2022-11-27,"0-17 years",0.00207426694956278
"512",2022-11-27,"18-29 years",0.000667103624544642
"513",2022-11-27,"50-64 years",0.000590652455927252
"514",2022-11-27,"65-74 years",0.000738688899242562
"515",2022-11-27,"75+ years",0.000777575907467462
"516",2022-12-04,"0-17 years",0.00176201786741245
"517",2022-12-04,"18-29 years",0.0006605548983545
"518",2022-12-04,"50-64 years",0.000595093733634501
"519",2022-12-04,"65-74 years",0.000711106507555856
"520",2022-12-04,"75+ years",0.000728848774577226
"521",2022-12-11,"0-17 years",0.0014687808946778
"522",2022-12-11,"18-29 years",0.000652102004087534
"523",2022-12-11,"50-64 years",0.00058066426597804
"524",2022-12-11,"65-74 years",0.000686931352489272
"525",2022-12-11,"75+ years",0.000690652063333211
"526",2022-12-18,"0-17 years",0.00118615710752058
"527",2022-12-18,"18-29 years",0.00055100982163849
"528",2022-12-18,"50-64 years",0.000410827557704659
"529",2022-12-18,"65-74 years",0.00043109655712693
"530",2022-12-18,"75+ years",0.000436198783918189
"531",2022-12-25,"0-17 years",0.00113740517233217
"532",2022-12-25,"18-29 years",0.000437525434245026
"533",2022-12-25,"50-64 years",0.000361767367672693
"534",2022-12-25,"65-74 years",0.000353216862952701
"535",2022-12-25,"75+ years",0.000334436618373355
"536",2023-01-01,"0-17 years",0.00131649313471965
"537",2023-01-01,"18-29 years",0.000458713082210976
